cluster,gene,prop_mal,prop_norm,mean_mal,mean_norm,p_prop,p_expr,p_combined,fdr_prop,fdr_expr,fdr_combined,sample
2,JUN,0.12048192771084337,0.04368543818727091,0.23941662937149155,0.06229095472237255,0.0034035093165470033,2.3610292363166122e-4,3.468197852440902e-5,0.014661270902048629,0.0010170587479517714,1.4939929210514653e-4,POG590_2
2,RAF1,0.12048192771084337,0.048917027657447515,0.21570309559856243,0.03660772790404251,0.007403916891520593,6.451105287511574e-4,1.4146951618876358e-4,0.029615667566082374,0.0025804421150046296,5.658780647550543e-4,POG590_2
2,JAK1,0.14457831325301204,0.09223592135954682,0.24975297719563622,0.055500250680116874,0.07897429666197243,0.021265274782141214,0.01167147674565805,0.2948373742046971,0.07939035918666053,0.043573513183790054,POG590_2
2,PARP1,0.07228915662650602,0.05028323892035988,0.11350750622589181,0.03183711524446683,0.2396269189138348,0.1478962814164337,0.09877064053262541,0.8386942161984219,0.517636984957518,0.34569724186418893,POG590_2
2,MYC,0.03614457831325301,0.023792069310229924,0.058373106126470654,0.01363563929224788,0.3171479949196544,0.2175023901620324,0.15995179134080617,1,0.7164784617102243,0.5269000185344203,POG590_2
2,CNR1,0.07228915662650602,0.05994668443852049,0.15420580760537966,0.0538523928138712,0.38005361921375286,0.26974050853031606,0.21439292401706256,1,0.8391926932054278,0.6670002080530836,POG590_2
2,CLDN3,0.08433734939759036,0.07884038653782073,0.1268899905450159,0.0869069331594866,0.48415689820128427,0.3870679470042703,0.32522226030903445,1,1,0.9585498198582068,POG590_2
2,SLC29A1,0,0.0198267244251916,0,0.009377236915167803,1,0.9024447552406781,0.961489818675332,1,1,1,POG590_2
2,PDCD1LG2,0,0.15361546151282907,0,0.09718569621977834,1,0.9999438687310244,0.9999778888098814,1,1,1,POG590_2
2,PDCD1,0,9.99666777740753e-5,0,4.279969970454204e-5,1,0.5364356670791101,0.8075982576548839,1,1,1,POG590_2
2,ERBB2,0.0963855421686747,0.31642785738087303,0.1494465334297022,0.22639448728551076,0.9999995359826457,0.9998992942985895,0.999959903581404,1,1,1,POG590_2
2,CD274,0,0.31712762412529155,0,0.37833638178147483,1,0.9999999993129434,0.9999999997293552,1,1,1,POG590_2
2,CDK4,0.03614457831325301,0.2222259246917694,0.05283246423300519,0.1421569860562495,0.9999997297769909,0.9999488255199362,0.9999795930105608,1,1,1,POG590_2
2,FLT1,0.012048192771084338,0.009063645451516162,0.013969294160253016,0.005104406914974818,0.5311344286630306,0.38377477958643047,0.3582385951231586,1,1,1,POG590_2
2,RET,0.024096385542168676,0.5338887037654115,0.0272816979212266,0.48956342764284655,1,1,1,1,1,1,POG590_2
2,CXCL1,0,0.03752082639120293,0,0.021407002747075483,1,0.9639307544699923,0.9857875369518112,1,1,1,POG590_2
2,ESR1,0.04819277108433735,0.08517160946351217,0.0727277492580871,0.05121369031450417,0.9303790780987088,0.8609665459084366,0.9909751555206177,1,1,1,POG590_2
