expression_type	gene	relevance	subject	disease_names	variant	X.rid	evidence	evidenceLevel	source.name	sourceId	createdBy	reviewStatus
increased	CDK4	sensitivity	palbociclib [DB09073]	sarcoma	increased protein expression	#155:5582	pmid:26528855	NA	iprkb	9d7ea9a8-270b-4255-a1e3-7827fb8e1cc8	#29:0	pending
increased	MDK	resistance	cisplatin [DB00515]	cervical cancer	increased RNA expression	#155:5591	pmid:16644108	NA	iprkb	e19baf49-ceeb-4a8d-a49b-f43d7ab424d4	#29:0	pending
reduced	PTEN	sensitivity	mtor inhibitor [c2201]	breast cancer	reduced RNA expression	#155:5596	pmid:18332865	NA	iprkb	9ac3f564-46c1-456d-9c7e-9a69d386f932	#29:0	pending
increased	CCNA2	resistance	tamoxifen [DB00675]	breast cancer	increased RNA expression	#155:5728	pmid:24622579	NA	iprkb	b892b835-f2c6-4ba0-b099-2b2dad052a49	#29:0	pending
increased	CD274	response	nivolumab [DB09035]	renal cancer	overexpression	#155:6360	pmid:25452452	CGI Early trials	cancer genome interpreter	6714dcb383d6a88e63e05912cf7dbac9	#29:0	NA
reduced	CRBN	resistance	lenalidomide [DB00480]	myeloma	underexpression	#155:6369	pmid:21860026	CGI Case report	cancer genome interpreter	cf6cdd7defe630c03b37bbf0b9be271d	#29:0	NA
increased	IGF2	no response	cixutumumab [DB12250]	adrenocortical carcinoma	increased RNA expression	#155:7826	pmid:18854392;pmid:24849545	NA	iprkb	3025e817-5360-4425-b18e-21ae3b1cb9e0	#29:0	pending
increased	IGF2	recurrent	liposarcoma [DOID:3382]	liposarcoma	increased RNA expression	#155:7856	pmid:25089899	NA	iprkb	33ff2ac4-02b1-4637-b336-6b34ab370c09	#29:0	pending
increased	CLDN4	sensitivity	cpe therapy	pancreatic cancer	increased RNA expression	#155:7890	pmid:11522752	NA	iprkb	c48c4f85-20bf-4c3f-8bb8-5552b3a24b73	#29:0	pending
increased	CDK6	resistance	fulvestrant [DB00947]	breast cancer	increased RNA expression	#155:7896	pmid:27748766	NA	iprkb	d09b2673-db84-48cb-8e00-c2f539e24407	#29:0	pending
reduced	RBBP8	sensitivity	camptothecin [DB04690]	osteosarcoma	reduced RNA expression	#155:7911	pmid:21052091	NA	iprkb	e4357d08-fe2d-4057-9dfd-c75cc2b4c1d3	#29:0	pending
reduced	ARID1A	sensitivity	PARP Inhibitor [c62554]	colon cancer	reduced RNA expression	#155:7915	pmid:26069190	NA	iprkb	f519e412-9f74-48a7-8699-36bf98531f22	#29:0	pending
increased	GZMA	favourable prognosis	patient	melanoma	increased RNA expression	#155:7920	pmid:25594174	NA	iprkb	836a0aef-302f-4f79-bd11-8970c951db85	#29:0	pending
increased	PRF1	favourable prognosis	patient	breast cancer	increased RNA expression	#155:7921	pmid:25594174	NA	iprkb	836a0aef-302f-4f79-bd11-8970c951db85	#29:0	pending
increased	CD8A	favourable prognosis	patient	colorectal cancer	increased protein expression	#155:7928	pmid:20927778	NA	iprkb	ea16b483-e100-44ae-b7d3-5bf25985390a	#29:0	pending
